id,name,district_id,province_id,name_nep
627,Bheriganga Municipality,65,6,???????? ?????????
628,Gurbhakot Municipality,65,6,????????? ?????????
629,Panchpuri Municipality,65,6,???????? ?????????
630,Lekweshi Municipality,65,6,??????? ?????????
631,Chaukune Rural Municipality,65,6,?????? ??????????
632,Barahatal Rural Municipality,65,6,??????? ??????????
633,Chingad Rural Municipality,65,6,??????? ??????????
634,Simta Rural Municipality,65,6,?????? ??????????
635,Narayan Municipality,66,6,?????? ?????????
636,Dullu Municipality,66,6,?????? ?????????
637,Chamunda Bindrasaini Municipality,66,6,???????? ???????????? ?????????
638,Aathbis municipalities,66,6,????? ?????????
639,Bhagwatimai Rural Municipality,66,6,???????? ??????????
640,Gurans Rural Municipality,66,6,?????? ??????????
641,Dungeshwar Rural Municipality,66,6,????????? ??????????
642,Naumule Rural Municipality,66,6,?????? ??????????
643,Mahavu Rural Municipality,66,6,????? ??????????
644,Bhairavi Rural Municipality,66,6,????? ??????????
645,Thantikandh Rural Municipality,66,6,????????? ??????????
646,Bheri Municipality,67,6,???? ?????????
647,Chhedagad Municipality,67,6,??????? ?????????
648,Nalgad Municipality,67,6,????? ?????????
649,Barekot Rural Municipality,67,6,??????? ??????????
650,Kuse Rural Municipality,67,6,???? ??????????
651,Junichande Rural Municipality,67,6,????????? ??????????
652,Shivalaya Rural Municipality,67,6,?????? ??????????
653,Musikot Municipality,68,6,??????? ?????????
654,Chaurajahari Municipality,68,6,???????? ?????????
655,Athbiscot Municipality,68,6,???????? ?????????
656,Banfikot Rural Municipality,68,6,???????? ??????????
657,Triveni Rural Municipality,68,6,???????? ??????????
658,Sani Bheri Rural Municipality,68,6,???? ???? ??????????
659,Dhangadhi Sub-metropolis,69,7,????? ??????????????
660,Tikapur Municipality,69,7,??????? ?????????
661,Ghodaghodi Municipality,69,7,???????? ?????????
662,Lamkichuha Municipality,69,7,????????? ?????????
663,Bhajani Municipality,69,7,???? ?????????
664,Godavari Municipality,69,7,??????? ?????????
665,Gauriganga Municipality,69,7,???????? ?????????
666,Janaki Rural Municipality,69,7,????? ??????????
667,Bardagoria Rural Municipality,69,7,?????????? ??????????
668,Mohanyal Rural Municipality,69,7,???????? ??????????
669,Kailari Rural Municipality,69,7,?????? ??????????
670,Joshipur Rural Municipality,69,7,??????? ??????????
671,Chure Rural Municipality,69,7,???? ??????????
672,Mangalsen Municipality,70,7,??????? ?????????
673,Kamalbazar Municipality,70,7,??????? ?????????
674,Sanphebgar Municipality,70,7,???????? ?????????
675,Panchdewal Vinayak Municipality,70,7,???????? ?????? ?????????
676,Chaurpati Rural Municipality,70,7,??????? ??????????
677,Mellekh Rural Municipality,70,7,??????? ??????????
678,Bannigadhi Jayagardh Rural Municipality,70,7,????????? ???? ??????????
679,Ramaroshan Rural Municipality,70,7,???????? ??????????
680,Dhakari Rural Municipality,70,7,????? ??????????
681,Turmakhand Rural Municipality,70,7,?????????? ??????????
682,Dipayal Silgadhi Municipality,71,7,?????? ?????? ?????????
683,Shikhar Municipality,71,7,???? ?????????
684,Purvichauki Rural Municipality,71,7,?????????? ??????????
685,Badikedar Rural Municipality,71,7,???????? ??????????
686,Jorayal Rural Municipality,71,7,?????? ??????????
687,Sayal Rural Municipality,71,7,???? ??????????
688,Aadarsha Rural Municipality,71,7,????? ??????????
689,K.I.C. Rural Municipality,71,7,??.??.???. ??????????
690,Bogtan Foodsil Rural Municipality,71,7,?????? ??????? ??????????
691,Jaya Prithvi Municipality,72,7,???????? ?????????
692,Bungal Municipality,72,7,????? ?????????
693,Talkot Rural Municipality,72,7,????? ??????????
694,Mashta Rural Municipality,72,7,????? ??????????
695,Khaptadchanna Rural Municipality,72,7,??????????? ??????????
696,Thalara Rural Municipality,72,7,????? ??????????
697,Vitthadchir Rural Municipality,72,7,????????? ??????????
698,Surma Rural Municipality,72,7,?????? ??????????
699,Chhabispathibhera Rural Municipality,72,7,???????????? ??????????
700,Durgathali Rural Municipality,72,7,????????? ??????????
701,Kedarsyu Rural Municipality,72,7,?????????? ??????????
702,Saipal Rural Municipality,72,7,?????? ??????????
703,Badimalika Municipality,73,7,????????? ?????????
704,Triveni Municipality,73,7,???????? ?????????
705,Budhiganga Municipality,73,7,???????? ?????????
706,Budhinanda Municipality,73,7,????????? ?????????
707,Gaumul Rural Municipality,73,7,????? ??????????
708,Jagannath Rural Municipality,73,7,???????? ??????????
709,Swamikartik Khapar Rural Municipality,73,7,????????????? ???? ??????????
